old parser:अ	(set! wordstruct '( (( "a" ) 0) ))	
new parser:अड़तालीस	(set! wordstruct '( (( "a" ) 0) (( "dxq" "a" ) 0) (( "t" "aa" ) 0) (( "l" "ii" "s" ) 0) ))
old parser:अड़तीस	(set! wordstruct '( (( "a" "dxq" ) 0) (( "t" "ii" "s" ) 0) ))
new parser:अड़तीस	(set! wordstruct '( (( "a" ) 0) (( "dxq" "a" ) 0) (( "t" "ii" "s" ) 0) ))
old parser:अतिक्रमणकारी	(set! wordstruct '( (( "a" ) 0) (( "t" "i" "k" ) 0) (( "r" "a" "m" ) 0) (( "nx" "a" ) 0) (( "k" "aa" ) 0) (( "r" "ii" ) 0) ))
new parser:अतिक्रमणकारी	(set! wordstruct '( (( "a" ) 0) (( "t" "i" "k" ) 0) (( "r" "a" ) 0) (( "m" "a" "nx" ) 0) (( "k" "aa" ) 0) (( "r" "ii" ) 0) ))
old parser:अदनान	(set! wordstruct '( (( "a" "d" ) 0) (( "n" "aa" "n" ) 0) ))
new parser:अदनान	(set! wordstruct '( (( "a" "d" ) 0) (( "n" "aa" ) 0) (( "n" "a" ) 0) ))
old parser:अदरक	(set! wordstruct '( (( "a" "d" ) 0) (( "r" "a" "k" ) 0) ))
new parser:अदरक	(set! wordstruct '( (( "a" ) 0) (( "d" "a" "r" ) 0) (( "k" "a" ) 0) ))
old parser:अधिकतर	(set! wordstruct '( (( "a" ) 0) (( "dh" "i" "k" ) 0) (( "t" "a" "r" ) 0) ))
new parser:अधिकतर	(set! wordstruct '( (( "a" ) 0) (( "dh" "i" ) 0) (( "k" "a" ) 0) (( "t" "a" "r" ) 0) ))
old parser:अधिग्रहण	(set! wordstruct '( (( "a" ) 0) (( "dh" "i" "g" ) 0) (( "r" "a" ) 0) (( "h" "a" "nx" ) 0) ))
new parser:अधिग्रहण	(set! wordstruct '( (( "a" ) 0) (( "dh" "i" ) 0) (( "g" "r" "a" "h" ) 0) (( "nx" "a" ) 0) ))
old parser:अनवरत	(set! wordstruct '( (( "a" ) 0) (( "n" "a" "w" ) 0) (( "r" "a" "t" ) 0) ))
new parser:अनवरत	(set! wordstruct '( (( "a" "n" ) 0) (( "w" "a" "r" ) 0) (( "t" "a" ) 0) ))
old parser:अन्यमनस्कता	(set! wordstruct '( (( "a" "n" ) 0) (( "y" "a" "m" ) 0) (( "n" "a" "s" ) 0) (( "k" "a" ) 0) (( "t" "aa" ) 0) ))
new parser:अन्यमनस्कता	(set! wordstruct '( (( "a" "n" "y" ) 0) (( "m" "a" ) 0) (( "n" "a" "s" ) 0) (( "k" "a" ) 0) (( "t" "aa" ) 0) ))
old parser:अपकीर्ति	(set! wordstruct '( (( "a" "p" ) 0) (( "k" "ii" "r" ) 0) (( "t" "i" ) 0) ))
new parser:अपकीर्ति	(set! wordstruct '( (( "a" "p" ) 0) (( "k" "ii" ) 0) (( "r" "t" "i" ) 0) ))
old parser:अपनत्व	(set! wordstruct '( (( "a" "p" ) 0) (( "n" "a" "t" "w" ) 0) ))
new parser:अपनत्व	(set! wordstruct '( (( "a" ) 0) (( "p" "a" "n" ) 0) (( "t" "w" "a" ) 0) ))
old parser:अपराध	(set! wordstruct '( (( "a" "p" ) 0) (( "r" "aa" "dh" ) 0) ))
new parser:अपराध	(set! wordstruct '( (( "a" "p" ) 0) (( "r" "aa" ) 0) (( "dh" "a" ) 0) ))
old parser:अपराधबोध	(set! wordstruct '( (( "a" "p" ) 0) (( "r" "aa" "dh" ) 0) (( "b" "o" "dh" ) 0) ))
new parser:अपराधबोध	(set! wordstruct '( (( "a" "p" ) 0) (( "r" "aa" ) 0) (( "dh" "a" ) 0) (( "b" "o" "dh" ) 0) ))
old parser:अपवाद	(set! wordstruct '( (( "a" "p" ) 0) (( "w" "aa" "d" ) 0) ))
new parser:अपवाद	(set! wordstruct '( (( "a" "p" ) 0) (( "w" "aa" ) 0) (( "d" "a" ) 0) ))
old parser:अपहरण	(set! wordstruct '( (( "a" ) 0) (( "p" "a" "h" ) 0) (( "r" "a" "nx" ) 0) ))
new parser:अपहरण	(set! wordstruct '( (( "a" "p" ) 0) (( "h" "a" ) 0) (( "r" "a" "nx" ) 0) ))
old parser:अफ़वाह	(set! wordstruct '( (( "a" "f" ) 0) (( "w" "aa" "h" ) 0) ))
new parser:अफ़वाह	(set! wordstruct '( (( "a" ) 0) (( "f" "a" ) 0) (( "w" "aa" "h" ) 0) ))
old parser:अफ़वाहों	(set! wordstruct '( (( "a" "f" ) 0) (( "w" "aa" ) 0) (( "h" "o" "q" ) 0) ))
new parser:अफ़वाहों	(set! wordstruct '( (( "a" ) 0) (( "f" "a" ) 0) (( "w" "aa" ) 0) (( "h" "o" "q" ) 0) ))
old parser:अफ़सर	(set! wordstruct '( (( "a" "f" ) 0) (( "s" "a" "r" ) 0) ))
new parser:अफ़सर	(set! wordstruct '( (( "a" ) 0) (( "f" "a" ) 0) (( "s" "a" "r" ) 0) ))
old parser:अफ़सोस	(set! wordstruct '( (( "a" "f" ) 0) (( "s" "o" "s" ) 0) ))
new parser:अफ़सोस	(set! wordstruct '( (( "a" ) 0) (( "f" "a" ) 0) (( "s" "o" "s" ) 0) ))
old parser:अमरकोश	(set! wordstruct '( (( "a" "m" ) 0) (( "r" "a" ) 0) (( "k" "o" "sh" ) 0) ))
new parser:अमरकोश	(set! wordstruct '( (( "a" ) 0) (( "m" "a" "r" ) 0) (( "k" "o" "sh" ) 0) ))
old parser:अरबियन	(set! wordstruct '( (( "a" "r" ) 0) (( "b" "i" "y" "n" ) 0) ))
new parser:अरबियन	(set! wordstruct '( (( "a" ) 0) (( "r" "a" ) 0) (( "b" "i" "y" "n" ) 0) ))
old parser:अरबी	(set! wordstruct '( (( "a" "r" ) 0) (( "b" "ii" ) 0) ))
new parser:अरबी	(set! wordstruct '( (( "a" ) 0) (( "r" "a" ) 0) (( "b" "ii" ) 0) ))
old parser:अरबों	(set! wordstruct '( (( "a" "r" ) 0) (( "b" "o" "q" ) 0) ))
new parser:अरबों	(set! wordstruct '( (( "a" ) 0) (( "r" "a" ) 0) (( "b" "o" "q" ) 0) ))
old parser:अरमानों	(set! wordstruct '( (( "a" "r" ) 0) (( "m" "aa" ) 0) (( "n" "o" "q" ) 0) ))
new parser:अरमानों	(set! wordstruct '( (( "a" ) 0) (( "r" "a" ) 0) (( "m" "aa" ) 0) (( "n" "o" "q" ) 0) ))
old parser:अरसे	(set! wordstruct '( (( "a" "r" ) 0) (( "s" "ee" ) 0) ))
new parser:अरसे	(set! wordstruct '( (( "a" ) 0) (( "r" "a" ) 0) (( "s" "ee" ) 0) ))
old parser:अरहर	(set! wordstruct '( (( "a" "r" ) 0) (( "h" "a" "r" ) 0) ))
new parser:अरहर	(set! wordstruct '( (( "a" ) 0) (( "r" "a" ) 0) (( "h" "a" "r" ) 0) ))
old parser:अर्जन	(set! wordstruct '( (( "a" "r" ) 0) (( "j" "a" "n" ) 0) ))
new parser:अर्जन	(set! wordstruct '( (( "a" "r" "j" ) 0) (( "n" "a" ) 0) ))
old parser:अर्थपूर्ण	(set! wordstruct '( (( "a" "r" ) 0) (( "th" "a" ) 0) (( "p" "uu" "r" "nx" ) 0) ))
new parser:अर्थपूर्ण	(set! wordstruct '( (( "a" "r" "th" ) 0) (( "p" "uu" "r" "nx" ) 0) ))
old parser:अर्थवान	(set! wordstruct '( (( "a" "r" ) 0) (( "th" "a" ) 0) (( "w" "aa" "n" ) 0) ))
new parser:अर्थवान	(set! wordstruct '( (( "a" "r" "th" ) 0) (( "w" "aa" "n" ) 0) ))
old parser:अर्थव्यवस्था	(set! wordstruct '( (( "a" "r" ) 0) (( "th" "a" "w" ) 0) (( "y" "a" ) 0) (( "w" "a" "s" ) 0) (( "th" "aa" ) 0) ))
new parser:अर्थव्यवस्था	(set! wordstruct '( (( "a" "r" "th" ) 0) (( "w" "y" "a" ) 0) (( "w" "a" "s" ) 0) (( "th" "aa" ) 0) ))
old parser:अर्थशास्त्री	(set! wordstruct '( (( "a" "r" ) 0) (( "th" "a" ) 0) (( "sh" "aa" "s" "t" ) 0) (( "r" "ii" ) 0) ))
new parser:अर्थशास्त्री	(set! wordstruct '( (( "a" "r" "th" ) 0) (( "sh" "aa" "s" "t" ) 0) (( "r" "ii" ) 0) ))
old parser:अर्थहीन	(set! wordstruct '( (( "a" "r" ) 0) (( "th" "a" ) 0) (( "h" "ii" "n" ) 0) ))
new parser:अर्थहीन	(set! wordstruct '( (( "a" "r" "th" ) 0) (( "h" "ii" "n" ) 0) ))
old parser:अर्धकथानक	(set! wordstruct '( (( "a" "r" ) 0) (( "dh" "a" ) 0) (( "k" "a" ) 0) (( "th" "aa" ) 0) (( "n" "a" "k" ) 0) ))
new parser:अर्धकथानक	(set! wordstruct '( (( "a" "r" "dh" ) 0) (( "k" "a" ) 0) (( "th" "aa" ) 0) (( "n" "a" "k" ) 0) ))
old parser:अलकीमियागरों	(set! wordstruct '( (( "a" "l" ) 0) (( "k" "ii" ) 0) (( "m" "i" ) 0) (( "y" "aa" "g" ) 0) (( "r" "o" "q" ) 0) ))
new parser:अलकीमियागरों	(set! wordstruct '( (( "a" ) 0) (( "l" "a" ) 0) (( "k" "ii" ) 0) (( "m" "i" ) 0) (( "y" "aa" "g" ) 0) (( "r" "o" "q" ) 0) ))
old parser:अलकेमिस्ट	(set! wordstruct '( (( "a" "l" ) 0) (( "k" "ee" ) 0) (( "m" "i" "s" "tx" ) 0) ))
new parser:अलकेमिस्ट	(set! wordstruct '( (( "a" ) 0) (( "l" "a" ) 0) (( "k" "ee" ) 0) (( "m" "i" "s" "tx" ) 0) ))
old parser:अलगाते	(set! wordstruct '( (( "a" "l" ) 0) (( "g" "aa" ) 0) (( "t" "ee" ) 0) ))
new parser:अलगाते	(set! wordstruct '( (( "a" ) 0) (( "l" "a" ) 0) (( "g" "aa" ) 0) (( "t" "ee" ) 0) ))
old parser:अलगाना	(set! wordstruct '( (( "a" "l" ) 0) (( "g" "aa" ) 0) (( "n" "aa" ) 0) ))
new parser:अलगाना	(set! wordstruct '( (( "a" ) 0) (( "l" "a" ) 0) (( "g" "aa" ) 0) (( "n" "aa" ) 0) ))
old parser:अलबट	(set! wordstruct '( (( "a" "l" ) 0) (( "b" "a" "tx" ) 0) ))
new parser:अलबट	(set! wordstruct '( (( "a" ) 0) (( "l" "a" "b" ) 0) (( "tx" "a" ) 0) ))
old parser:अलबत्ता	(set! wordstruct '( (( "a" "l" ) 0) (( "b" "a" ) 0) (( "t" "t" "aa" ) 0) ))
new parser:अलबत्ता	(set! wordstruct '( (( "a" ) 0) (( "l" "a" "b" ) 0) (( "t" "t" "aa" ) 0) ))
old parser:अलविदा	(set! wordstruct '( (( "a" "l" ) 0) (( "w" "i" ) 0) (( "d" "aa" ) 0) ))
new parser:अलविदा	(set! wordstruct '( (( "a" ) 0) (( "l" "a" ) 0) (( "w" "i" ) 0) (( "d" "aa" ) 0) ))
old parser:अल्पना	(set! wordstruct '( (( "a" "l" ) 0) (( "p" "a" ) 0) (( "n" "aa" ) 0) ))
new parser:अल्पना	(set! wordstruct '( (( "a" "l" "p" ) 0) (( "n" "aa" ) 0) ))
old parser:अवरोधक	(set! wordstruct '( (( "a" ) 0) (( "w" "a" ) 0) (( "r" "o" ) 0) (( "dh" "a" "k" ) 0) ))
new parser:अवरोधक	(set! wordstruct '( (( "a" "w" ) 0) (( "r" "o" ) 0) (( "dh" "a" "k" ) 0) ))
old parser:अवशोषण	(set! wordstruct '( (( "a" ) 0) (( "w" "a" ) 0) (( "sh" "o" ) 0) (( "sx" "a" "nx" ) 0) ))
new parser:अवशोषण	(set! wordstruct '( (( "a" "w" ) 0) (( "sh" "o" ) 0) (( "sx" "a" "nx" ) 0) ))
old parser:अश्वमेध	(set! wordstruct '( (( "a" "sh" ) 0) (( "w" "a" ) 0) (( "m" "ee" "dh" ) 0) ))
new parser:अश्वमेध	(set! wordstruct '( (( "a" "sh" "w" ) 0) (( "m" "ee" "dh" ) 0) ))
old parser:अष्टभुजा	(set! wordstruct '( (( "a" "sx" ) 0) (( "tx" "a" ) 0) (( "bh" "u" ) 0) (( "j" "aa" ) 0) ))
new parser:अष्टभुजा	(set! wordstruct '( (( "a" "sx" "tx" ) 0) (( "bh" "u" ) 0) (( "j" "aa" ) 0) ))
old parser:असत्य	(set! wordstruct '( (( "a" ) 0) (( "s" "a" "t" "y" ) 0) ))
new parser:असत्य	(set! wordstruct '( (( "a" ) 0) (( "s" "a" "t" ) 0) (( "y" "a" ) 0) ))
old parser:असफल	(set! wordstruct '( (( "a" "s" ) 0) (( "ph" "a" "l" ) 0) ))
new parser:असफल	(set! wordstruct '( (( "a" ) 0) (( "s" "a" ) 0) (( "ph" "a" "l" ) 0) ))
old parser:असफलता	(set! wordstruct '( (( "a" "s" ) 0) (( "ph" "a" "l" ) 0) (( "t" "aa" ) 0) ))
new parser:असफलता	(set! wordstruct '( (( "a" ) 0) (( "s" "a" ) 0) (( "ph" "a" "l" ) 0) (( "t" "aa" ) 0) ))
old parser:असमर्थ	(set! wordstruct '( (( "a" "s" ) 0) (( "m" "a" "r" "th" ) 0) ))
new parser:असमर्थ	(set! wordstruct '( (( "a" ) 0) (( "s" "a" "m" ) 0) (( "r" "th" "a" ) 0) ))
old parser:असरदार	(set! wordstruct '( (( "a" "s" ) 0) (( "r" "a" ) 0) (( "d" "aa" "r" ) 0) ))
new parser:असरदार	(set! wordstruct '( (( "a" ) 0) (( "s" "a" "r" ) 0) (( "d" "aa" "r" ) 0) ))
old parser:असहाय	(set! wordstruct '( (( "a" "s" ) 0) (( "h" "aa" "y" ) 0) ))
new parser:असहाय	(set! wordstruct '( (( "a" ) 0) (( "s" "a" ) 0) (( "h" "aa" "y" ) 0) ))
old parser:अहमद	(set! wordstruct '( (( "a" "h" ) 0) (( "m" "a" "d" ) 0) ))
new parser:अहमद	(set! wordstruct '( (( "a" ) 0) (( "h" "a" ) 0) (( "m" "a" "d" ) 0) ))
old parser:अहमदाबाद	(set! wordstruct '( (( "a" "h" ) 0) (( "m" "a" ) 0) (( "d" "aa" ) 0) (( "b" "aa" "d" ) 0) ))
new parser:अहमदाबाद	(set! wordstruct '( (( "a" ) 0) (( "h" "a" "m" ) 0) (( "d" "aa" ) 0) (( "b" "aa" "d" ) 0) ))
old parser:अहमियत	(set! wordstruct '( (( "a" "h" ) 0) (( "m" "i" "y" "t" ) 0) ))
new parser:अहमियत	(set! wordstruct '( (( "a" ) 0) (( "h" "a" ) 0) (( "m" "i" "y" "t" ) 0) ))
old parser:अहसास	(set! wordstruct '( (( "a" "h" ) 0) (( "s" "aa" "s" ) 0) ))
new parser:अहसास	(set! wordstruct '( (( "a" ) 0) (( "h" "a" ) 0) (( "s" "aa" "s" ) 0) ))
old parser:अफ़गानी	(set! wordstruct '( (( "a" "f" ) 0) (( "g" "aa" ) 0) (( "n" "ii" ) 0) ))
new parser:अफ़गानी	(set! wordstruct '( (( "a" ) 0) (( "f" "a" ) 0) (( "g" "aa" ) 0) (( "n" "ii" ) 0) ))
old parser:अफ़रा	(set! wordstruct '( (( "a" "f" ) 0) (( "r" "aa" ) 0) ))
new parser:अफ़रा	(set! wordstruct '( (( "a" ) 0) (( "f" "a" ) 0) (( "r" "aa" ) 0) ))
old parser:अफ़सर	(set! wordstruct '( (( "a" "f" ) 0) (( "s" "a" "r" ) 0) ))
new parser:अफ़सर	(set! wordstruct '( (( "a" ) 0) (( "f" "a" ) 0) (( "s" "a" "r" ) 0) ))
old parser:अफ़सरों	(set! wordstruct '( (( "a" "f" ) 0) (( "s" "a" ) 0) (( "r" "o" "q" ) 0) ))
new parser:अफ़सरों	(set! wordstruct '( (( "a" ) 0) (( "f" "a" "s" ) 0) (( "r" "o" "q" ) 0) ))
old parser:अफ़साने	(set! wordstruct '( (( "a" "f" ) 0) (( "s" "aa" ) 0) (( "n" "ee" ) 0) ))
new parser:अफ़साने	(set! wordstruct '( (( "a" ) 0) (( "f" "a" ) 0) (( "s" "aa" ) 0) (( "n" "ee" ) 0) ))
old parser:अफ़सोस	(set! wordstruct '( (( "a" "f" ) 0) (( "s" "o" "s" ) 0) ))
new parser:अफ़सोस	(set! wordstruct '( (( "a" ) 0) (( "f" "a" ) 0) (( "s" "o" "s" ) 0) ))
old parser:आगमन	(set! wordstruct '( (( "aa" "g" ) 0) (( "m" "a" "n" ) 0) ))
new parser:आगमन	(set! wordstruct '( (( "aa" ) 0) (( "g" "a" "m" ) 0) (( "n" "a" ) 0) ))
old parser:आग्रह	(set! wordstruct '( (( "aa" "g" ) 0) (( "r" "a" "h" ) 0) ))
new parser:आग्रह	(set! wordstruct '( (( "aa" ) 0) (( "g" "r" "a" "h" ) 0) ))
old parser:आदतन	(set! wordstruct '( (( "aa" "d" ) 0) (( "t" "a" "n" ) 0) ))
new parser:आदतन	(set! wordstruct '( (( "aa" ) 0) (( "d" "a" "t" ) 0) (( "n" "a" ) 0) ))
old parser:आफ़तों	(set! wordstruct '( (( "aa" "f" ) 0) (( "t" "o" "q" ) 0) ))
new parser:आफ़तों	(set! wordstruct '( (( "aa" ) 0) (( "f" "a" ) 0) (( "t" "o" "q" ) 0) ))
old parser:आर्कटिक	(set! wordstruct '( (( "aa" "r" ) 0) (( "k" "a" ) 0) (( "tx" "i" "k" ) 0) ))
new parser:आर्कटिक	(set! wordstruct '( (( "aa" "r" "k" ) 0) (( "tx" "i" "k" ) 0) ))
old parser:आर्टस	(set! wordstruct '( (( "aa" "r" ) 0) (( "tx" "a" "s" ) 0) ))
new parser:आर्टस	(set! wordstruct '( (( "aa" "r" "tx" ) 0) (( "s" "a" ) 0) ))
old parser:आलतू	(set! wordstruct '( (( "aa" "l" ) 0) (( "t" "uu" ) 0) ))
new parser:आलतू	(set! wordstruct '( (( "aa" ) 0) (( "l" "a" ) 0) (( "t" "uu" ) 0) ))
old parser:आलसब	(set! wordstruct '( (( "aa" "l" ) 0) (( "s" "a" "b" ) 0) ))
new parser:आलसब	(set! wordstruct '( (( "aa" ) 0) (( "l" "a" "s" ) 0) (( "b" "a" ) 0) ))
old parser:आश्रम	(set! wordstruct '( (( "aa" "sh" ) 0) (( "r" "a" "m" ) 0) ))
new parser:आश्रम	(set! wordstruct '( (( "aa" ) 0) (( "sh" "r" "a" "m" ) 0) ))
old parser:आश्रय	(set! wordstruct '( (( "aa" "sh" ) 0) (( "r" "a" "y" ) 0) ))
new parser:आश्रय	(set! wordstruct '( (( "aa" "sh" "r" ) 0) (( "y" "a" ) 0) ))
old parser:आॅन	(set! wordstruct '( (( "aa" ) 0) (( "ae" "n" ) 0) ))
new parser:आॅन	(set! wordstruct '( (( "aa" ) 0) (( "e" "n" ) 0) ))
old parser:आॅफ़	(set! wordstruct '( (( "aa" ) 0) (( "ae" "f" ) 0) ))
new parser:आॅफ़	(set! wordstruct '( (( "aa" ) 0) (( "e" "f" ) 0) ))
old parser:ऑन	(set! wordstruct '( (( "ax" "n" ) 0) ))
new parser:ऑन	(set! wordstruct '( (( "a" "n" ) 0) ))
old parser:ऑफ	(set! wordstruct '( (( "ax" "ph" ) 0) ))
new parser:ऑफ	(set! wordstruct '( (( "a" "ph" ) 0) ))
old parser:इंटरनेट	(set! wordstruct '( (( "i" "q" "tx" ) 0) (( "r" "a" ) 0) (( "n" "ee" "tx" ) 0) ))
new parser:इंटरनेट	(set! wordstruct '( (( "i" "q" ) 0) (( "tx" "a" "r" ) 0) (( "n" "ee" "tx" ) 0) ))
old parser:इंटरनेशनल	(set! wordstruct '( (( "i" "q" "tx" ) 0) (( "r" "a" ) 0) (( "n" "ee" "sh" ) 0) (( "n" "a" "l" ) 0) ))
new parser:इंटरनेशनल	(set! wordstruct '( (( "i" "q" ) 0) (( "tx" "a" "r" ) 0) (( "n" "ee" "sh" ) 0) (( "n" "a" "l" ) 0) ))
old parser:इंटरव्यू	(set! wordstruct '( (( "i" "q" "tx" ) 0) (( "r" "a" "w" ) 0) (( "y" "uu" ) 0) ))
new parser:इंटरव्यू	(set! wordstruct '( (( "i" "q" ) 0) (( "tx" "a" "r" ) 0) (( "w" "y" "uu" ) 0) ))
old parser:इतिहासकार	(set! wordstruct '( (( "i" ) 0) (( "t" "i" ) 0) (( "h" "aa" "s" ) 0) (( "k" "aa" "r" ) 0) ))
new parser:इतिहासकार	(set! wordstruct '( (( "i" ) 0) (( "t" "i" ) 0) (( "h" "aa" ) 0) (( "s" "a" ) 0) (( "k" "aa" "r" ) 0) ))
old parser:इनकम	(set! wordstruct '( (( "i" "n" ) 0) (( "k" "a" "m" ) 0) ))
new parser:इनकम	(set! wordstruct '( (( "i" ) 0) (( "n" "a" "k" ) 0) (( "m" "a" ) 0) ))
old parser:इनकार	(set! wordstruct '( (( "i" "n" ) 0) (( "k" "aa" "r" ) 0) ))
new parser:इनकार	(set! wordstruct '( (( "i" ) 0) (( "n" "a" ) 0) (( "k" "aa" "r" ) 0) ))
old parser:इर्दगिर्द	(set! wordstruct '( (( "i" "r" ) 0) (( "d" "a" ) 0) (( "g" "i" "r" "d" ) 0) ))
new parser:इर्दगिर्द	(set! wordstruct '( (( "i" "r" "d" ) 0) (( "g" "i" "r" "d" ) 0) ))
old parser:इहलोक	(set! wordstruct '( (( "i" "h" ) 0) (( "l" "o" "k" ) 0) ))
new parser:इहलोक	(set! wordstruct '( (( "i" ) 0) (( "h" "a" ) 0) (( "l" "o" "k" ) 0) ))
old parser:ईश्वर	(set! wordstruct '( (( "ii" "sh" ) 0) (( "w" "a" "r" ) 0) ))
new parser:ईश्वर	(set! wordstruct '( (( "ii" ) 0) (( "sh" "w" "a" "r" ) 0) ))
old parser:उग्रवादियों	(set! wordstruct '( (( "u" "g" ) 0) (( "r" "a" ) 0) (( "w" "aa" ) 0) (( "d" "i" ) 0) (( "y" "o" "q" ) 0) ))
new parser:उग्रवादियों	(set! wordstruct '( (( "u" "g" "r" ) 0) (( "w" "aa" ) 0) (( "d" "i" ) 0) (( "y" "o" "q" ) 0) ))
old parser:उछालकर	(set! wordstruct '( (( "u" ) 0) (( "ch" "aa" "l" ) 0) (( "k" "a" "r" ) 0) ))
new parser:उछालकर	(set! wordstruct '( (( "u" ) 0) (( "ch" "aa" ) 0) (( "l" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:उड़ता	(set! wordstruct '( (( "u" "dxq" ) 0) (( "t" "aa" ) 0) ))
new parser:उड़ता	(set! wordstruct '( (( "u" ) 0) (( "dxq" "a" ) 0) (( "t" "aa" ) 0) ))
old parser:उड़ते	(set! wordstruct '( (( "u" "dxq" ) 0) (( "t" "ee" ) 0) ))
new parser:उड़ते	(set! wordstruct '( (( "u" ) 0) (( "dxq" "a" ) 0) (( "t" "ee" ) 0) ))
old parser:उड़ने	(set! wordstruct '( (( "u" "dxq" ) 0) (( "n" "ee" ) 0) ))
new parser:उड़ने	(set! wordstruct '( (( "u" ) 0) (( "dxq" "a" ) 0) (( "n" "ee" ) 0) ))
old parser:उत्सर्जन	(set! wordstruct '( (( "u" "t" ) 0) (( "s" "a" "r" ) 0) (( "j" "a" "n" ) 0) ))
new parser:उत्सर्जन	(set! wordstruct '( (( "u" "t" ) 0) (( "s" "a" "r" "j" ) 0) (( "n" "a" ) 0) ))
old parser:उत्सव	(set! wordstruct '( (( "u" "t" ) 0) (( "s" "a" "w" ) 0) ))
new parser:उत्सव	(set! wordstruct '( (( "u" "t" "s" ) 0) (( "w" "a" ) 0) ))
old parser:उदयगीर	(set! wordstruct '( (( "u" "d" ) 0) (( "y" "a" ) 0) (( "g" "ii" "r" ) 0) ))
new parser:उदयगीर	(set! wordstruct '( (( "u" ) 0) (( "d" "a" "y" ) 0) (( "g" "ii" "r" ) 0) ))
old parser:उदयसिंह	(set! wordstruct '( (( "u" "d" ) 0) (( "y" "a" ) 0) (( "s" "i" "q" "h" ) 0) ))
